run_id,game_date,player_name,team_abbreviation,matchup,prop_type,market_family,market_profile,market_profile_label,side,line,price,proj,diff,diff_abs,diff_ratio,edge_pct,edge_score,model_mae,model_key,min_l5,candidate_basic,micro_line_final,line_min_ok,consistency_joya,main_eligible,radar_only,hit_l5,n_l5,hit_l10,n_l10,hr_l5,hr_l10,hr_text,quality,bucket
ludo_20260613_131701_d14022,2026-06-13,De'Aaron Fox,SAS,San Antonio Spurs @ New York Knicks,FGM,MAIN,SCORING_RESULT,Anotación / resultado,OVER,3.5,1.18,6.59442329406738,3.09442329406738,3.09442329406738,1.7444181149260838,88.4120941162109,1.74441811492609,1.7739,FGM,33.9400005340576,True,False,True,False,False,False,4,5,8,10,0.8,0.8,4/5 | 8/10,BUENA,RADAR
ludo_20260613_131701_d14022,2026-06-13,Mikal Bridges,NYK,San Antonio Spurs @ New York Knicks,FGA,TECH,VOLUME_SAFE,Volumen seguro,UNDER,14.5,1.14,10.3949861526489,-4.10501384735107,4.10501384735107,1.464611762291662,28.3104403265591,1.46461176229166,2.8028,FGA,33.4400005340576,True,False,True,False,False,False,4,5,8,10,0.8,0.8,4/5 | 8/10,BUENA,RADAR
ludo_20260613_131701_d14022,2026-06-13,Landry Shamet,NYK,San Antonio Spurs @ New York Knicks,FGA,TECH,VOLUME_SAFE,Volumen seguro,OVER,3.5,1.17,6.83854293823242,3.33854293823242,3.33854293823242,1.1911456180363993,95.3869410923549,1.1911456180364,2.8028,FGA,26.7,True,False,True,False,False,False,4,5,8,10,0.8,0.8,4/5 | 8/10,BUENA,RADAR
ludo_20260613_131701_d14022,2026-06-13,Victor Wembanyama,SAS,San Antonio Spurs @ New York Knicks,FGM,MAIN,SCORING_RESULT,Anotación / resultado,OVER,6.5,1.19,8.39427089691162,1.89427089691162,1.89427089691162,1.0678566418127402,29.1426291832557,1.06785664181274,1.7739,FGM,37.4200000762939,True,False,True,False,False,False,4,5,8,10,0.8,0.8,4/5 | 8/10,BUENA,RADAR
ludo_20260613_131701_d14022,2026-06-13,Stephon Castle,SAS,San Antonio Spurs @ New York Knicks,3PT,MAIN,SCORING_RESULT,Anotación / resultado,OVER,0.5,1.31,1.42728757858276,0.927287578582764,0.927287578582764,1.0635251503415117,185.457515716553,1.06352515034151,0.8719,3PT,33.5400005340576,True,False,True,False,False,False,4,5,8,10,0.8,0.8,4/5 | 8/10,BUENA,RADAR
ludo_20260613_131701_d14022,2026-06-13,Julian Champagnie,SAS,San Antonio Spurs @ New York Knicks,PTS,MAIN,SCORING_RESULT,Anotación / resultado,OVER,6.5,1.35,11.3852338790894,4.88523387908936,4.88523387908936,1.0613843785363721,75.1574442936824,1.06138437853637,4.6027,PTS,31.3000003814697,True,False,True,False,False,False,4,5,8,10,0.8,0.8,4/5 | 8/10,BUENA,RADAR
ludo_20260613_131701_d14022,2026-06-13,Julian Champagnie,SAS,San Antonio Spurs @ New York Knicks,FG3A,TECH,VOLUME_SAFE,Volumen seguro,OVER,5.5,1.64,6.93477964401245,1.43477964401245,1.43477964401245,0.9693802067511993,26.0869026184082,0.9693802067512,1.4801,FG3A,31.3000003814697,True,False,True,False,False,False,4,5,8,10,0.8,0.8,4/5 | 8/10,BUENA,RADAR
ludo_20260613_131701_d14022,2026-06-13,De'Aaron Fox,SAS,San Antonio Spurs @ New York Knicks,PTS,MAIN,SCORING_RESULT,Anotación / resultado,OVER,11.5,1.31,16.6339912414551,5.13399124145508,5.13399124145508,1.1154303433756447,44.6434020996094,1.11543034337564,4.6027,PTS,33.9400005340576,True,False,True,False,False,False,4,5,7,10,0.8,0.7,4/5 | 7/10,BUENA,RADAR
ludo_20260613_131701_d14022,2026-06-13,De'Aaron Fox,SAS,San Antonio Spurs @ New York Knicks,FGM,MAIN,SCORING_RESULT,Anotación / resultado,UNDER,8.5,1.11,6.59442329406738,-1.90557670593262,1.90557670593262,1.0742300614085463,22.4185494815602,1.07423006140854,1.7739,FGM,33.9400005340576,True,False,True,False,False,False,5,5,10,10,1.0,1.0,5/5 | 10/10,RADAR,RADAR
ludo_20260613_131701_d14022,2026-06-13,OG Anunoby,NYK,San Antonio Spurs @ New York Knicks,PTS,MAIN,SCORING_RESULT,Anotación / resultado,OVER,14.5,1.29,18.3264923095703,3.82649230957031,3.82649230957031,0.831358183146916,26.3896021349677,0.831358183146917,4.6027,PTS,32.7,True,False,True,False,False,False,5,5,8,10,1.0,0.8,5/5 | 8/10,RADAR,RADAR
