game_id,team_id,team_abbreviation,team_name,season,season_type,wl,minutes,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,turnovers,pf,pts,plus_minus,updated_at
1022400035,1611661313,NYL,Liberty,2024,Regular Season,,200:00,28,68,0.412,9,32,0.281,16,18,0.889,9,30,39,19,7,5,10,12,81,3.0,2026-05-21T18:53:57.567413
1022400037,1611661324,MIN,Lynx,2024,Regular Season,,200:00,24,65,0.369,8,24,0.333,10,10,1.0,8,28,36,18,8,5,16,16,66,-14.0,2026-05-21T18:53:57.567413
1022400037,1611661319,LVA,Aces,2024,Regular Season,,200:00,30,72,0.417,10,27,0.37,10,14,0.714,11,30,41,23,6,5,14,12,80,14.0,2026-05-21T18:53:57.567413
1022400036,1611661322,WAS,Mystics,2024,Regular Season,,200:00,27,74,0.365,6,27,0.222,7,7,1.0,9,22,31,21,6,3,13,17,67,-6.0,2026-05-21T18:53:57.567413
1022400036,1611661330,ATL,Dream,2024,Regular Season,,200:00,26,62,0.419,6,21,0.286,15,21,0.714,5,31,36,19,9,2,17,19,73,6.0,2026-05-21T18:53:57.567413
1022400039,1611661320,LAS,Sparks,2024,Regular Season,,200:00,24,60,0.4,4,21,0.19,21,29,0.724,7,26,33,17,9,2,18,15,73,-10.0,2026-05-21T18:53:57.567413
1022400039,1611661329,CHI,Sky,2024,Regular Season,,200:00,32,75,0.427,7,19,0.368,12,16,0.75,13,22,35,27,13,7,14,26,83,10.0,2026-05-21T18:53:57.567413
1022400038,1611661328,SEA,Storm,2024,Regular Season,,200:00,42,75,0.56,8,19,0.421,11,14,0.786,4,28,32,29,9,7,7,22,103,15.0,2026-05-21T18:53:57.567413
1022400038,1611661325,IND,Fever,2024,Regular Season,,200:00,29,70,0.414,10,25,0.4,20,22,0.909,10,26,36,21,2,4,13,16,88,-15.0,2026-05-21T18:53:57.567413
1022400042,1611661322,WAS,Mystics,2024,Regular Season,,200:00,28,60,0.467,7,18,0.389,16,22,0.727,3,27,30,22,7,1,14,27,79,-11.0,2026-05-21T18:53:57.567413
1022400042,1611661313,NYL,Liberty,2024,Regular Season,,200:00,28,63,0.444,11,32,0.344,23,31,0.742,8,26,34,18,9,1,14,23,90,11.0,2026-05-21T18:53:57.567413
1022400043,1611661317,PHO,Mercury,2024,Regular Season,,200:00,24,62,0.387,9,28,0.321,14,18,0.778,10,26,36,16,6,2,16,14,71,-24.0,2026-05-21T18:53:57.567413
1022400043,1611661324,MIN,Lynx,2024,Regular Season,,200:00,36,73,0.493,14,35,0.4,9,12,0.75,10,26,36,29,6,3,6,15,95,24.0,2026-05-21T18:53:57.567413
1022400040,1611661319,LVA,Aces,2024,Regular Season,,200:00,25,69,0.362,6,21,0.286,18,20,0.9,3,31,34,18,6,5,11,25,74,-4.0,2026-05-21T18:53:57.567413
1022400040,1611661330,ATL,Dream,2024,Regular Season,,200:00,22,61,0.361,8,16,0.5,26,29,0.897,3,35,38,17,5,4,11,17,78,4.0,2026-05-21T18:53:57.567413
1022400041,1611661321,DAL,Wings,2024,Regular Season,,200:00,32,62,0.516,6,16,0.375,2,4,0.5,7,23,30,21,3,4,14,22,72,-2.0,2026-05-21T18:53:57.567413
1022400041,1611661323,CON,Sun,2024,Regular Season,,200:00,29,60,0.483,2,10,0.2,14,24,0.583,9,19,28,22,8,2,10,12,74,2.0,2026-05-21T18:53:57.567413
1022400044,1611661325,IND,Fever,2024,Regular Season,,200:00,27,69,0.391,6,25,0.24,11,16,0.688,9,24,33,19,6,5,11,18,71,1.0,2026-05-21T18:53:57.567413
1022400044,1611661329,CHI,Sky,2024,Regular Season,,200:00,28,69,0.406,2,12,0.167,12,18,0.667,12,31,43,15,7,1,15,17,70,-1.0,2026-05-21T18:53:57.567413
