Fecha_Partido,Partido,Jugador,Equipo,Stat,Linea,Over,Under
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,REBOUNDS,7.5,2.66,1.34
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,THREESMADE,1.5,2.01,1.69
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS+REBOUNDS,21.5,1.6,2.0
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS+REBOUNDS,22.5,1.79,1.88
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS+REBOUNDS,23.5,1.91,1.66
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS+REBOUNDS,24.5,2.08,1.55
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS+ASSISTS,17.5,1.62,1.96
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS+ASSISTS,18.5,1.83,1.84
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS+ASSISTS,19.5,1.95,1.63
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,POINTS+ASSISTS,20.5,2.11,1.54
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,PRA,24.5,1.81,1.86
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,PRA,25.5,1.91,1.66
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,PRA,22.5,1.54,2.1
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,PRA,26.5,2.08,1.55
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,PRA,27.5,2.23,1.48
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,PRA,21.5,1.42,2.39
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,PRA,28.5,2.49,1.38
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,PRA,20.5,1.32,2.71
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,ASSISTS+REBOUNDS,7.5,1.7,1.99
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,ASSISTS+REBOUNDS,8.5,2.09,1.54
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,ASSISTS,1.5,1.69,2.01
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Tobias Harris,Detroit Pistons,ASSISTS,2.5,2.7,1.33
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,POINTS,11.5,1.73,1.95
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,POINTS,12.5,1.9,1.67
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,POINTS,9.5,1.4,2.42
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,POINTS,13.5,2.08,1.55
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,POINTS,8.5,1.28,2.9
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,POINTS,14.5,2.38,1.42
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,POINTS,15.5,2.78,1.31
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,REBOUNDS,3.5,2.21,1.57
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,REBOUNDS,2.5,1.53,2.13
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,THREESMADE,1.5,2.04,1.67
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,POINTS+REBOUNDS,15.5,1.88,1.79
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,POINTS+REBOUNDS,16.5,2.04,1.57
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,POINTS+REBOUNDS,14.5,1.66,1.92
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,POINTS+REBOUNDS,13.5,1.54,2.11
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,POINTS+ASSISTS,15.5,1.76,1.92
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,POINTS+ASSISTS,16.5,1.91,1.67
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,POINTS+ASSISTS,14.5,1.56,2.07
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,POINTS+ASSISTS,17.5,2.08,1.55
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,PRA,19.5,1.93,1.75
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,PRA,20.5,2.05,1.57
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,PRA,18.5,1.67,1.9
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,PRA,21.5,2.2,1.49
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,PRA,17.5,1.57,2.05
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,PRA,16.5,1.44,2.32
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,PRA,22.5,2.52,1.37
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,ASSISTS+REBOUNDS,6.5,1.68,2.03
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,ASSISTS+REBOUNDS,7.5,2.05,1.57
2026-05-17,Detroit Pistons - Cleveland Cavaliers,Daniss Jenkins,Detroit Pistons,ASSISTS,3.5,1.73,1.95
