partido,partido_original,fecha,fecha_hora,equipo_local,equipo_visitante,equipo,jugador,mercado,linea,tipo,cuota,fuente,fixture_id
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Devin Vassell,TirosLibresInt,2.5,Sobre,2.14,dom,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Devin Vassell,TirosLibresInt,2.5,Debajo,1.61,dom,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Devin Vassell,GolesCampo,4.5,Sobre,1.78,dom,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Devin Vassell,GolesCampo,4.5,Debajo,1.89,dom,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Devin Vassell,GolesCampoInt,11.5,Sobre,1.77,dom,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Devin Vassell,GolesCampoInt,11.5,Debajo,1.91,dom,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Devin Vassell,TriplesInt,6.5,Sobre,1.66,dom,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Devin Vassell,TriplesInt,6.5,Debajo,2.06,dom,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Devin Vassell,Faltas,2.5,Sobre,1.89,dom,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Devin Vassell,Faltas,2.5,Debajo,1.79,dom,
Oklahoma City Thunder - San Antonio Spurs,Oklahoma City Thunder - San Antonio Spurs,2026-05-26,2026-05-26 21:30,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Victor Wembanyama,Puntos,25.5,Sobre,1.78,dom,
