team_id,team_name,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,turnovers,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,season,season_type,updated_at
1611661328,Seattle Storm,44,23,21,0.523,40.2,31.1,69.2,0.45,7.5,22.1,0.342,12.3,16.0,0.771,6.9,24.0,30.9,21.3,12.3,8.5,5.1,4.2,17.1,16.6,82.1,2.0,1,7,7,7,2,3,2,5,9,9,5,12,13,8,12,12,13,4,1,1,1,10,6,11,8,7,2025,Regular Season,2026-05-24T14:25:56.799421
1611661322,Washington Mystics,44,16,28,0.364,40.1,28.0,63.7,0.439,5.6,17.1,0.329,15.6,20.7,0.754,7.7,25.3,33.0,19.2,15.3,6.5,3.2,3.9,18.2,19.6,77.1,-4.4,1,10,10,10,3,11,13,7,13,13,10,3,1,13,11,8,11,11,12,12,10,7,10,1,11,10,2025,Regular Season,2026-05-24T14:25:56.799421
1611661330,Atlanta Dream,3,1,2,0.333,40.0,29.7,70.0,0.424,6.0,21.3,0.281,9.7,14.0,0.69,8.0,26.0,34.0,19.3,15.0,7.3,4.0,2.7,23.0,16.3,75.0,-2.3,5,5,1,5,6,5,3,6,7,5,7,7,6,8,3,4,5,5,5,3,4,2,8,6,6,5,2025,Playoffs,2026-05-24T14:25:58.524040
1611661331,Golden State Valkyries,2,0,2,0.0,40.0,24.0,61.5,0.39,10.0,26.5,0.377,15.0,18.0,0.833,4.5,22.5,27.0,19.5,16.0,7.0,3.5,3.0,18.0,19.5,73.0,-15.0,8,8,1,8,6,7,8,7,1,2,3,3,4,1,8,8,8,4,8,5,6,5,5,2,7,8,2025,Playoffs,2026-05-24T14:25:58.524040
1611661325,Indiana Fever,8,4,4,0.5,40.6,28.9,68.1,0.424,5.8,18.4,0.313,17.6,22.4,0.788,9.6,25.5,35.1,17.4,15.4,6.5,2.5,5.4,17.9,21.1,81.1,-1.6,3,3,7,2,4,6,6,5,8,8,4,1,1,5,1,5,3,7,7,6,8,7,4,1,4,4,2025,Playoffs,2026-05-24T14:25:58.524040
1611661319,Las Vegas Aces,12,9,3,0.75,40.4,32.3,68.6,0.47,8.0,21.1,0.379,16.1,20.3,0.794,7.3,23.6,30.9,21.0,11.8,8.6,5.7,2.9,18.2,19.0,88.6,6.0,1,1,5,1,5,2,5,1,3,6,2,2,2,4,6,7,7,2,1,1,1,4,6,3,1,1,2025,Playoffs,2026-05-24T14:25:58.524040
1611661324,Minnesota Lynx,6,3,3,0.5,40.8,32.7,72.5,0.451,8.2,26.2,0.312,9.5,11.5,0.826,7.5,27.0,34.5,21.2,12.8,8.3,4.5,2.7,15.7,13.7,83.0,4.0,4,4,5,2,3,1,1,2,2,3,5,8,8,2,5,3,4,1,3,2,3,2,2,8,2,2,2025,Playoffs,2026-05-24T14:25:58.524040
1611661313,New York Liberty,3,1,2,0.333,41.7,24.0,67.7,0.355,7.7,30.3,0.253,14.0,20.0,0.7,7.0,32.0,39.0,17.0,15.3,6.0,5.3,2.3,15.3,17.0,69.7,-8.3,5,5,1,5,1,7,7,8,6,1,8,5,3,7,7,1,1,8,6,8,2,1,1,4,8,7,2025,Playoffs,2026-05-24T14:25:58.524040
1611661317,Phoenix Mercury,11,5,6,0.455,40.9,29.9,70.4,0.425,7.8,25.3,0.309,14.2,17.5,0.808,8.0,29.2,37.2,19.7,12.8,7.1,2.5,5.5,15.8,15.3,81.8,0.2,2,2,8,4,2,4,2,4,5,4,6,4,5,3,3,2,2,3,2,4,7,8,3,7,3,3,2025,Playoffs,2026-05-24T14:25:58.524040
1611661328,Seattle Storm,3,1,2,0.333,40.0,30.0,69.3,0.433,8.0,18.7,0.429,10.7,13.7,0.78,8.7,24.3,33.0,18.0,13.3,6.3,3.7,4.7,19.0,17.0,78.7,-7.7,5,5,1,5,6,3,4,3,3,7,1,6,7,6,2,6,6,6,4,7,5,6,7,4,5,6,2025,Playoffs,2026-05-24T14:25:58.524040
1611661330,Atlanta Dream,4,3,1,0.75,40.0,29.5,69.3,0.426,6.8,25.0,0.27,18.8,24.3,0.773,11.5,31.0,42.5,18.0,16.0,7.3,4.5,6.8,17.8,20.5,84.5,5.5,14,4,1,1,4,10,6,10,11,7,14,7,5,9,1,1,1,10,11,9,6,15,1,10,10,5,2026,Regular Season,2026-05-24T14:25:59.549285
