created_at_utc,snapshot_id,book,partido,jugador,player_norm,game_norm,pred_player,player_id,team,pred_game,pred_game_norm,game_match,team_game_match,mercado_raw,linea_raw,stat_key,side,threshold,model_line,odds_decimal,pred_mean,pred_std,prob_model,prob_implied,edge_prob,ev,ev_pct,row_uid,pick_uid,hit_l5,n_l5,hit_l10,n_l10,hr_l5,hr_l10,hit_rate,keep_reason
2026-05-14T12:41:07+00:00,20260514_094005,betano,Minnesota Timberwolves San Antonio Spurs,Terrence Shannon Jr.,terrence shannon jr,minnesota timberwolves san antonio spurs,Terrence Shannon Jr.,1630545,MIN,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Puntos (hitos),9+,PTS,over,9,8.5,2.42,11.4506,4.8341,0.729190,0.413223,0.315967,0.764640,76.46,2934e0b7486ea123affbf94c0a457c8aa49d2bb7,2934e0b7486ea123affbf94c0a457c8aa49d2bb7|11.4506|4.8341,2,5,6,10,0.400000,0.600000,2/5 | 6/10,EV
2026-05-14T12:41:07+00:00,20260514_094005,betano,Minnesota Timberwolves San Antonio Spurs,Carter Bryant,carter bryant,minnesota timberwolves san antonio spurs,Carter Bryant,1642868,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Triples (hitos),1+,3PM,over,1,0.5,2.4,1.0249,0.9642,0.706912,0.416667,0.290245,0.696588,69.66,761fdd993be4453eb69a19372f7b89d8f935a260,761fdd993be4453eb69a19372f7b89d8f935a260|1.0249|0.9642,2,5,6,10,0.400000,0.600000,2/5 | 6/10,EV
2026-05-14T12:41:07+00:00,20260514_094005,betano,Minnesota Timberwolves San Antonio Spurs,Carter Bryant,carter bryant,minnesota timberwolves san antonio spurs,Carter Bryant,1642868,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Puntos (hitos),3+,PTS,over,3,2.5,1.88,6.06335,4.8341,0.769477,0.531915,0.237563,0.446618,44.66,1b00a5efc31ddf734be2ba3bddd91eeac9cf53dd,1b00a5efc31ddf734be2ba3bddd91eeac9cf53dd|6.0633|4.8341,2,5,6,10,0.400000,0.600000,2/5 | 6/10,EV
2026-05-14T12:41:07+00:00,20260514_094005,betano,Minnesota Timberwolves San Antonio Spurs,Julius Randle,julius randle,minnesota timberwolves san antonio spurs,Julius Randle,203944,MIN,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,PRA (hitos),26+,PRA,over,26,25.5,1.78,30.8181,6.1893,0.804897,0.561798,0.243100,0.432717,43.27,c3aeceeeeb06d04a689cfb90e7fa807af8533d8b,c3aeceeeeb06d04a689cfb90e7fa807af8533d8b|30.8181|6.1893,2,5,6,10,0.400000,0.600000,2/5 | 6/10,EV
2026-05-14T12:41:07+00:00,20260514_094005,betano,Minnesota Timberwolves San Antonio Spurs,Luke Kornet,luke kornet,minnesota timberwolves san antonio spurs,Luke Kornet,1628436,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Asistencias (hitos),1+,AST,over,1,0.5,1.88,1.38155,1.4546,0.727758,0.531915,0.195843,0.368184,36.82,45ece94ee7951083b295cbdaddb565cdd05d5fd2,45ece94ee7951083b295cbdaddb565cdd05d5fd2|1.3816|1.4546,2,5,6,10,0.400000,0.600000,2/5 | 6/10,EV
2026-05-14T12:41:07+00:00,20260514_094005,betano,Minnesota Timberwolves San Antonio Spurs,Carter Bryant,carter bryant,minnesota timberwolves san antonio spurs,Carter Bryant,1642868,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Rebotes (hitos),2+,REB,over,2,1.5,1.67,2.89604,1.9667,0.761098,0.598802,0.162296,0.271034,27.10,7375280ca2043ed98b663cd62204ced597fc3563,7375280ca2043ed98b663cd62204ced597fc3563|2.8960|1.9667,2,5,6,10,0.400000,0.600000,2/5 | 6/10,EV
2026-05-14T12:41:07+00:00,20260514_094005,betano,Cleveland Cavaliers Detroit Pistons,Donovan Mitchell,donovan mitchell,cleveland cavaliers detroit pistons,Donovan Mitchell,1628378,CLE,Detroit Pistons @ Cleveland Cavaliers,detroit pistons cleveland cavaliers,1,1,Asistencias (hitos),3+,AST,over,3,2.5,1.39,4.42531,1.4546,0.907182,0.719424,0.187757,0.260983,26.10,7521a0c3c15e54a9cc21c381b2627b9bc919df25,7521a0c3c15e54a9cc21c381b2627b9bc919df25|4.4253|1.4546,2,5,6,10,0.400000,0.600000,2/5 | 6/10,EV
2026-05-14T12:41:07+00:00,20260514_094005,betano,Cleveland Cavaliers Detroit Pistons,Donovan Mitchell,donovan mitchell,cleveland cavaliers detroit pistons,Donovan Mitchell,1628378,CLE,Detroit Pistons @ Cleveland Cavaliers,detroit pistons cleveland cavaliers,1,1,RA (hitos),8+,RA,over,8,7.5,1.67,9.11684,2.6976,0.725534,0.598802,0.126732,0.211642,21.16,7667357988682cbbfaf2487112a65060d73c4717,7667357988682cbbfaf2487112a65060d73c4717|9.1168|2.6976,2,5,6,10,0.400000,0.600000,2/5 | 6/10,EV
2026-05-14T12:41:07+00:00,20260514_094005,betano,Minnesota Timberwolves San Antonio Spurs,Keldon Johnson,keldon johnson,minnesota timberwolves san antonio spurs,Keldon Johnson,1629640,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Rebotes (hitos),3+,REB,over,3,2.5,1.38,4.77285,1.9667,0.876091,0.724638,0.151453,0.209005,20.90,5e6c634e8e4d62235533410b31f3681c042cc9a2,5e6c634e8e4d62235533410b31f3681c042cc9a2|4.7728|1.9667,2,5,6,10,0.400000,0.600000,2/5 | 6/10,EV
2026-05-14T12:41:07+00:00,20260514_094005,betano,Minnesota Timberwolves San Antonio Spurs,Terrence Shannon Jr.,terrence shannon jr,minnesota timberwolves san antonio spurs,Terrence Shannon Jr.,1630545,MIN,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Triples (hitos),1+,3PM,over,1,0.5,1.47,1.38624,0.9642,0.820991,0.680272,0.140719,0.206857,20.69,2eb60c725eb67f2cd6bfdeafb587326a6c13d524,2eb60c725eb67f2cd6bfdeafb587326a6c13d524|1.3862|0.9642,2,5,6,10,0.400000,0.600000,2/5 | 6/10,EV
